ticker,year,roic,gross_margin,asof
AAPL,2006,0.1961,0.2898,2006-12-30
AAPL,2007,0.2484,0.3397,2007-12-29
AAPL,2008,0.2461,0.3431,2008-12-31
AAPL,2009,0.2216,0.3596,2009-12-31
AAPL,2010,0.3644,0.3938,2010-12-31
AAPL,2011,0.4104,0.4048,2011-12-31
AAPL,2012,0.4201,0.4387,2012-12-29
AAPL,2013,0.2608,0.3762,2013-12-31
AAPL,2014,0.262,0.3859,2014-12-31
AAPL,2015,0.3132,0.4006,2015-12-31
AAPL,2016,0.2195,0.3908,2016-12-31
AAPL,2017,0.1986,0.3847,2017-12-30
AAPL,2018,0.2441,0.3834,2018-12-29
AAPL,2019,0.2575,0.3782,2019-12-31
AAPL,2020,0.2934,0.3823,2020-12-31
AAPL,2021,0.4881,0.4178,2021-12-31
AAPL,2022,0.522,0.4331,2022-12-31
AAPL,2023,0.5262,0.4413,2023-12-30
AAPL,2024,0.5362,0.4621,2024-12-31
ACN,2006,0.5235,0.274,2006-12-30
ACN,2007,0.6161,0.2816,2007-12-29
ACN,2008,0.7294,0.2839,2008-12-31
ACN,2009,0.5754,0.2952,2009-12-31
ACN,2010,0.6183,0.314,2010-12-31
ACN,2011,0.6723,0.3066,2011-12-31
ACN,2012,0.6311,0.3018,2012-12-29
ACN,2013,0.7154,0.3087,2013-12-31
ACN,2014,0.5458,0.3038,2014-12-31
ACN,2015,0.5099,0.298,2015-12-31
ACN,2016,0.5968,0.2953,2016-12-31
ACN,2017,0.414,0.3,2017-12-30
ACN,2018,0.4166,0.2991,2018-12-29
ACN,2019,0.381,0.3081,2019-12-31
ACN,2020,0.291,0.3153,2020-12-31
ACN,2021,0.2724,0.3238,2021-12-31
ACN,2022,0.2839,0.3199,2022-12-31
ACN,2023,0.2466,0.3234,2023-12-30
ACN,2024,0.2319,0.3261,2024-12-31
ADBE,2006,0.1442,0.8864,2006-12-30
ADBE,2007,0.1477,0.8877,2007-12-29
ADBE,2008,0.1786,0.8987,2008-12-31
ADBE,2009,0.0692,0.8993,2009-12-31
ADBE,2010,0.1274,0.8938,2010-12-31
ADBE,2011,0.1237,0.8961,2011-12-31
ADBE,2012,0.1118,0.8901,2012-12-29
ADBE,2013,0.0398,0.8554,2013-12-31
ADBE,2014,0.0359,0.85,2014-12-31
ADBE,2015,0.0789,0.8448,2015-12-31
ADBE,2016,0.1302,0.86,2016-12-31
ADBE,2017,0.1729,0.8616,2017-12-30
ADBE,2018,0.2172,0.8677,2018-12-29
ADBE,2019,0.1938,0.8503,2019-12-31
ADBE,2020,0.3256,0.8662,2020-12-31
ADBE,2021,0.2619,0.8819,2021-12-31
ADBE,2022,0.2514,0.877,2022-12-31
ADBE,2023,0.27,0.8787,2023-12-30
ADBE,2024,0.2661,0.8904,2024-12-31
BA,2006,0.1254,0.1575,2006-12-30
BA,2007,0.132,0.1803,2007-12-29
BA,2008,0.2669,0.1956,2008-12-31
BA,2009,0.2394,0.1733,2009-12-31
BA,2010,0.1479,0.172,2010-12-31
BA,2011,0.2438,0.1938,2011-12-31
BA,2012,0.2825,0.1872,2012-12-29
BA,2013,0.261,0.1598,2013-12-31
BA,2014,0.2384,0.1542,2014-12-31
BA,2015,0.2696,0.1544,2015-12-31
BA,2016,0.3156,0.1459,2016-12-31
BA,2017,0.3813,0.1457,2017-12-30
BA,2018,0.763,0.1855,2018-12-29
BA,2019,0.8482,0.1942,2019-12-31
BA,2020,0.8482,0.0583,2020-12-31
BA,2021,0.8482,-0.0978,2021-12-31
BA,2022,0.8482,0.0484,2022-12-31
BA,2023,0.8482,0.0526,2023-12-30
BA,2024,0.8482,0.0993,2024-12-31
BAX,2006,0.1223,0.4156,2006-12-30
BAX,2007,0.1671,0.4564,2007-12-29
BAX,2008,0.1789,0.49,2008-12-31
BAX,2009,0.2077,0.4964,2009-12-31
BAX,2010,0.2142,0.5194,2010-12-31
BAX,2011,0.1333,0.4639,2011-12-31
BAX,2012,0.1995,0.5072,2012-12-29
BAX,2013,0.1944,0.5145,2013-12-31
BAX,2014,0.1386,0.4977,2014-12-31
BAX,2015,0.1491,0.4893,2015-12-31
BAX,2016,0.0661,0.4159,2016-12-31
BAX,2017,0.3786,0.4044,2017-12-30
BAX,2018,0.0633,0.4225,2018-12-29
BAX,2019,0.1395,0.4297,2019-12-31
BAX,2020,0.0851,0.419,2020-12-31
BAX,2021,0.083,0.393,2021-12-31
BAX,2022,0.0677,0.3993,2022-12-31
BAX,2023,-0.0841,0.3571,2023-12-30
BAX,2024,0.1289,0.3359,2024-12-31
BIIB,2006,0.0184,0.782,2006-12-30
BIIB,2007,0.0222,0.8534,2007-12-29
BIIB,2008,0.0749,0.8943,2008-12-31
BIIB,2009,0.1098,0.9019,2009-12-31
BIIB,2010,0.1349,0.9127,2010-12-31
BIIB,2011,0.1459,0.9151,2011-12-31
BIIB,2012,0.1767,0.9075,2012-12-29
BIIB,2013,0.1777,0.9011,2013-12-31
BIIB,2014,0.2171,0.8763,2014-12-31
BIIB,2015,0.286,0.8793,2015-12-31
BIIB,2016,0.264,0.8848,2016-12-31
BIIB,2017,0.2228,0.8708,2017-12-30
BIIB,2018,0.142,0.8672,2018-12-29
BIIB,2019,0.2397,0.865,2019-12-31
BIIB,2020,0.2959,0.864,2020-12-31
BIIB,2021,0.2256,0.8657,2021-12-31
BIIB,2022,0.0942,0.8079,2022-12-31
BIIB,2023,0.1694,0.7761,2023-12-30
BIIB,2024,0.0536,0.7424,2024-12-31
BKNG,2006,0.3757,0.2783,2006-12-30
BKNG,2007,0.0961,0.3571,2007-12-29
BKNG,2008,0.1505,0.4537,2008-12-31
BKNG,2009,0.1689,0.5072,2009-12-31
BKNG,2010,0.3763,0.5392,2010-12-31
BKNG,2011,0.2868,0.6188,2011-12-31
BKNG,2012,0.3952,0.7071,2012-12-29
BKNG,2013,0.3449,0.7762,2013-12-31
BKNG,2014,0.2764,0.8414,2014-12-31
BKNG,2015,0.2334,0.8984,2015-12-31
BKNG,2016,0.1927,0.9315,2016-12-31
BKNG,2017,0.1352,0.9601,2017-12-30
BKNG,2018,0.127,0.9802,2018-12-29
BKNG,2019,0.2168,0.9802,2019-12-31
BKNG,2020,0.2965,0.9802,2020-12-31
BKNG,2021,0.0173,0.9802,2021-12-31
BKNG,2022,0.0817,0.9802,2022-12-31
BKNG,2023,0.1919,0.9802,2023-12-30
BKNG,2024,0.301,0.9802,2024-12-31
CL,2006,0.288,0.5444,2006-12-30
CL,2007,0.2818,0.5476,2007-12-29
CL,2008,0.3267,0.5618,2008-12-31
CL,2009,0.3632,0.5627,2009-12-31
CL,2010,0.4021,0.5877,2010-12-31
CL,2011,0.3668,0.5914,2011-12-31
CL,2012,0.3713,0.5731,2012-12-29
CL,2013,0.3399,0.5813,2013-12-31
CL,2014,0.2906,0.5856,2014-12-31
CL,2015,0.2879,0.5851,2015-12-31
CL,2016,0.2064,0.5862,2016-12-31
CL,2017,0.2064,0.6004,2017-12-30
CL,2018,0.2064,0.6005,2018-12-29
CL,2019,0.2064,0.5939,2019-12-31
CL,2020,0.3334,0.5942,2020-12-31
CL,2021,0.3216,0.6082,2021-12-31
CL,2022,0.2642,0.5955,2022-12-31
CL,2023,0.2096,0.5704,2023-12-30
CL,2024,0.2552,0.5821,2024-12-31
COST,2006,0.114,0.1231,2006-12-30
COST,2007,0.1054,0.1235,2007-12-29
COST,2008,0.1146,0.1239,2008-12-31
COST,2009,0.0944,0.1272,2009-12-31
COST,2010,0.1074,0.1277,2010-12-31
COST,2011,0.1113,0.1257,2011-12-31
COST,2012,0.124,0.1242,2012-12-29
COST,2013,0.1398,0.1256,2013-12-31
COST,2014,0.1258,0.1259,2014-12-31
COST,2015,0.1367,0.1302,2015-12-31
COST,2016,0.1413,0.1332,2016-12-31
COST,2017,0.1571,0.1329,2017-12-30
COST,2018,0.1726,0.1301,2018-12-29
COST,2019,0.1765,0.1298,2019-12-31
COST,2020,0.1607,0.1309,2020-12-31
COST,2021,0.1806,0.1288,2021-12-31
COST,2022,0.2053,0.1215,2022-12-31
COST,2023,0.1898,0.1226,2023-12-30
COST,2024,0.2139,0.1261,2024-12-31
CVX,2006,0.2135,0.2891,2006-12-30
CVX,2007,0.2221,0.314,2007-12-29
CVX,2008,0.2292,0.3139,2008-12-31
CVX,2009,0.2661,0.2917,2009-12-31
CVX,2010,0.1061,0.3019,2010-12-31
CVX,2011,0.174,0.3193,2011-12-31
CVX,2012,0.2168,0.2707,2012-12-29
CVX,2013,0.1868,0.3314,2013-12-31
CVX,2014,0.1341,0.3237,2014-12-31
CVX,2015,0.1087,0.3194,2015-12-31
CVX,2016,0.0239,0.3012,2016-12-31
CVX,2017,-0.0024,0.2852,2017-12-30
CVX,2018,0.0496,0.2937,2018-12-29
CVX,2019,0.081,0.2826,2019-12-31
CVX,2020,0.0195,0.2183,2020-12-31
CVX,2021,-0.0289,0.2591,2021-12-31
CVX,2022,0.0932,0.3105,2022-12-31
CVX,2023,0.203,0.3139,2023-12-30
CVX,2024,0.1191,0.3067,2024-12-31
GILD,2006,0.313,0.8717,2006-12-30
GILD,2007,-0.3631,0.8568,2007-12-29
GILD,2008,0.4039,0.8183,2008-12-31
GILD,2009,0.3843,0.7887,2009-12-31
GILD,2010,0.4046,0.7724,2010-12-31
GILD,2011,0.3441,0.7648,2011-12-31
GILD,2012,0.2445,0.7467,2012-12-29
GILD,2013,0.1787,0.7453,2013-12-31
GILD,2014,0.1856,0.7448,2014-12-31
GILD,2015,0.5426,0.8478,2015-12-31
GILD,2016,0.5452,0.8773,2016-12-31
GILD,2017,0.3357,0.8598,2017-12-30
GILD,2018,0.1039,0.8326,2018-12-29
GILD,2019,0.1209,0.7807,2019-12-31
GILD,2020,0.1276,0.7917,2020-12-31
GILD,2021,0.0174,0.8148,2021-12-31
GILD,2022,0.1433,0.7582,2022-12-31
GILD,2023,0.113,0.7926,2023-12-30
GILD,2024,0.1365,0.7604,2024-12-31
GOOGL,2006,0.2236,0.5811,2006-12-30
GOOGL,2007,0.2326,0.6016,2007-12-29
GOOGL,2008,0.1908,0.5993,2008-12-31
GOOGL,2009,0.1549,0.6044,2009-12-31
GOOGL,2010,0.1974,0.6261,2010-12-31
GOOGL,2011,0.1805,0.6447,2011-12-31
GOOGL,2012,0.1589,0.6521,2012-12-29
GOOGL,2013,0.1466,0.5888,2013-12-31
GOOGL,2014,0.1452,0.5678,2014-12-31
GOOGL,2015,0.1377,0.6107,2015-12-31
GOOGL,2016,0.1282,0.6244,2016-12-31
GOOGL,2017,0.1402,0.6108,2017-12-30
GOOGL,2018,0.0798,0.5888,2018-12-29
GOOGL,2019,0.1726,0.5648,2019-12-31
GOOGL,2020,0.1615,0.5558,2020-12-31
GOOGL,2021,0.1663,0.5358,2021-12-31
GOOGL,2022,0.2836,0.5694,2022-12-31
GOOGL,2023,0.2066,0.5538,2023-12-30
GOOGL,2024,0.2367,0.5663,2024-12-31
HD,2006,0.2037,0.3352,2006-12-30
HD,2007,0.1702,0.3279,2007-12-29
HD,2008,0.1296,0.3361,2008-12-31
HD,2009,0.0878,0.3365,2009-12-31
HD,2010,0.1062,0.3387,2010-12-31
HD,2011,0.127,0.3427,2011-12-31
HD,2012,0.1487,0.3447,2012-12-29
HD,2013,0.1718,0.3457,2013-12-31
HD,2014,0.2089,0.3475,2014-12-31
HD,2015,0.2477,0.3481,2015-12-31
HD,2016,0.2766,0.3419,2016-12-31
HD,2017,0.3079,0.3416,2017-12-30
HD,2018,0.3279,0.3405,2018-12-29
HD,2019,0.3279,0.3434,2019-12-31
HD,2020,0.3279,0.3409,2020-12-31
HD,2021,0.3421,0.3395,2021-12-31
HD,2022,0.3816,0.3363,2022-12-31
HD,2023,0.3816,0.3353,2023-12-30
HD,2024,0.3134,0.3338,2024-12-31
HON,2006,0.1007,0.2238,2006-12-30
HON,2007,0.1338,0.2318,2007-12-29
HON,2008,0.1544,0.2396,2008-12-31
HON,2009,0.1721,0.2342,2009-12-31
HON,2010,0.1541,0.2499,2010-12-31
HON,2011,0.1362,0.2353,2011-12-31
HON,2012,0.1305,0.2183,2012-12-29
HON,2013,0.1621,0.2489,2013-12-31
HON,2014,0.1759,0.2737,2014-12-31
HON,2015,0.1672,0.2816,2015-12-31
HON,2016,0.1736,0.3067,2016-12-31
HON,2017,0.1522,0.3092,2017-12-30
HON,2018,0.0499,0.3197,2018-12-29
HON,2019,0.1985,0.3052,2019-12-31
HON,2020,0.179,0.337,2020-12-31
HON,2021,0.1312,0.3207,2021-12-31
HON,2022,0.1433,0.3198,2022-12-31
HON,2023,0.1356,0.3282,2023-12-30
HON,2024,0.1611,0.3728,2024-12-31
IBM,2006,0.149,0.4009,2006-12-30
IBM,2007,0.1812,0.4189,2007-12-29
IBM,2008,0.1889,0.4224,2008-12-31
IBM,2009,0.2309,0.4406,2009-12-31
IBM,2010,0.2841,0.4572,2010-12-31
IBM,2011,0.2996,0.4607,2011-12-31
IBM,2012,0.3115,0.4689,2012-12-29
IBM,2013,0.3257,0.4813,2013-12-31
IBM,2014,0.2924,0.4863,2014-12-31
IBM,2015,0.2141,0.5001,2015-12-31
IBM,2016,0.2532,0.4977,2016-12-31
