# roll: mapping=OpenInterest normalization=BackwardsRatio depth=0
# source: QuantConnect native continuous futures
# markets: CL,NG,GC,HG,ZC,ZS,ZW
# vol_windows_days: 20,60,120
# rows: 207  span: 2009-06-30 .. 2026-08-31
time,CL_close,CL_v20,CL_v60,CL_v120,NG_close,NG_v20,NG_v60,NG_v120,GC_close,GC_v20,GC_v60,GC_v120,HG_close,HG_v20,HG_v60,HG_v120,ZC_close,ZC_v20,ZC_v60,ZC_v120,ZS_close,ZS_v20,ZS_v60,ZS_v120,ZW_close,ZW_v20,ZW_v60,ZW_v120
2009-06-30,169.547804,0.355820,0.436840,0.630362,844.047762,0.605413,0.644918,0.607855,,,,,,,,,5.108208,0.409385,0.331010,0.356343,7.677048,0.294710,0.271250,0.317337,36.423148,0.371596,0.392863,0.415652
2009-07-31,164.215862,0.442121,0.395107,0.597085,769.742108,0.649432,0.672471,0.633169,,,,,,,,,5.315399,0.425977,0.374794,0.345078,7.609021,0.475452,0.339491,0.328539,35.690803,0.309526,0.364883,0.384931
2009-08-31,161.852142,0.376544,0.388620,0.459603,549.384942,0.460367,0.596405,0.652827,,,,,,,,,5.014384,0.312831,0.400408,0.357433,7.403597,0.329188,0.369977,0.335133,32.067229,0.277156,0.297580,0.379400
2009-09-30,162.822420,0.439593,0.409223,0.417062,714.973854,1.134035,0.845819,0.751111,,,,,,,,,5.227762,0.432276,0.413837,0.374847,7.037026,0.313366,0.359417,0.334707,29.322736,0.333782,0.319475,0.354832
2009-10-31,177.524245,0.330249,0.383343,0.382141,624.183100,0.549129,0.819963,0.749030,,,,,,,,,5.597363,0.431077,0.388685,0.395869,7.379296,0.266115,0.310936,0.329288,31.665987,0.451261,0.353548,0.364632
2009-11-30,177.016078,0.288979,0.354439,0.369491,553.144462,0.526451,0.796217,0.718103,,,,,,,,,6.105300,0.347748,0.400629,0.404369,8.001327,0.220808,0.277070,0.327690,36.239164,0.376505,0.393197,0.345249
2009-12-31,176.943542,0.248985,0.290213,0.350045,631.579762,0.593053,0.551807,0.728661,,,,,,,,,6.072298,0.262535,0.334716,0.381260,7.864844,0.225505,0.237387,0.297266,33.469390,0.278243,0.369649,0.344044
2010-01-31,160.725251,0.230839,0.256566,0.325007,586.401730,0.500499,0.546754,0.694803,,,,,,,,,5.214256,0.265913,0.291959,0.341647,6.867205,0.198424,0.223098,0.270866,29.276045,0.339259,0.328920,0.345056
2010-02-28,174.776803,0.355596,0.285111,0.320761,548.098941,0.335866,0.498309,0.662072,,,,,,,,,5.547868,0.248859,0.263261,0.340679,7.153344,0.191509,0.210818,0.247007,31.234017,0.347862,0.318934,0.359023
2010-03-31,182.304304,0.206312,0.269426,0.279622,434.987962,0.321462,0.373934,0.478189,,,,,,,,,4.914842,0.184348,0.243766,0.295024,6.986123,0.237234,0.208568,0.225425,27.098555,0.270950,0.318812,0.350135
2010-04-30,186.315894,0.238117,0.263001,0.264941,436.850648,0.496803,0.401141,0.482521,,,,,,,,,5.181762,0.296442,0.242516,0.268179,7.356870,0.130558,0.178154,0.199305,29.388368,0.323193,0.308905,0.323383
2010-05-31,150.808841,0.393652,0.302493,0.293629,466.755716,0.305466,0.409274,0.451040,,,,,,,,,4.971318,0.232278,0.243682,0.250348,6.930065,0.146737,0.171249,0.191007,26.690181,0.223382,0.277509,0.302138
2010-06-30,150.158357,0.326323,0.334339,0.305616,493.543857,0.444862,0.414785,0.405984,,,,,,,,,4.878000,0.383017,0.310429,0.278930,6.985958,0.163370,0.148542,0.176983,27.189676,0.275455,0.280070,0.298226
2010-07-31,156.505025,0.274696,0.340341,0.304059,521.664502,0.379393,0.399723,0.403989,,,,,,,,,5.308699,0.293093,0.311671,0.278272,7.832195,0.189125,0.171454,0.174903,37.153595,0.387013,0.332292,0.320232
2010-08-31,141.364890,0.259491,0.290568,0.307774,399.598235,0.276515,0.365940,0.406829,,,,,,,,,5.758976,0.269742,0.309559,0.284311,7.853616,0.166102,0.161934,0.167820,37.069182,0.576948,0.445935,0.376629
2010-09-30,155.684452,0.241259,0.271771,0.314214,388.851255,0.301124,0.330581,0.376627,,,,,,,,,6.467020,0.312531,0.283877,0.297168,8.591657,0.211031,0.180801,0.172131,36.541363,0.354289,0.461925,0.388999
2010-10-31,157.506277,0.273743,0.276697,0.304830,363.983353,0.362430,0.312527,0.364505,,,,,,,,,7.592713,0.386725,0.349051,0.333203,9.519443,0.262569,0.238777,0.204176,38.774446,0.403432,0.407653,0.402032
2010-11-30,160.556642,0.298388,0.273365,0.281805,356.444485,0.368777,0.348251,0.356594,,,,,,,,,6.937310,0.375730,0.383368,0.351005,9.623691,0.396680,0.309985,0.247019,35.331915,0.352105,0.367039,0.418196
2010-12-31,174.196259,0.146253,0.258403,0.261308,370.250758,0.452643,0.400643,0.366456,,,,,,,,,8.030829,0.190306,0.342351,0.329137,10.753834,0.160527,0.291033,0.250978,40.580497,0.267633,0.370714,0.417545
2011-01-31,173.421092,0.315412,0.269890,0.272939,371.174915,0.368696,0.392918,0.359137,,,,,,,,,8.381520,0.300832,0.312913,0.329591,10.820902,0.228870,0.282559,0.259456,42.974362,0.287557,0.334494,0.356703
2011-02-28,175.121698,0.351970,0.276038,0.278292,334.288035,0.306620,0.374332,0.361255,,,,,,,,,9.171348,0.302753,0.268281,0.333573,10.371286,0.301973,0.236579,0.277324,40.321730,0.406277,0.322276,0.359647
2011-03-31,190.229680,0.291733,0.315812,0.286942,356.622457,0.371914,0.349878,0.370528,,,,,,,,,8.706658,0.451587,0.356110,0.339104,10.682634,0.293436,0.272382,0.269807,37.666547,0.516260,0.405893,0.366925
2011-04-30,201.685752,0.256780,0.299719,0.284793,372.620194,0.292484,0.336907,0.366308,,,,,4.847451,,,,9.449120,0.379967,0.383718,0.348090,10.502836,0.223940,0.270040,0.274504,37.960831,0.428427,0.440505,0.389679
