short_delta,pt_take,stop_mult,iv_rank_min,dte,n_trades,total_return_pct,cagr_pct,sharpe,maxdd_pct,win_pct,expectancy_usd,worst_trade_usd
0.25,0.5,999.0,0.0,45,204,4.1,0.2,0.16,-7.6,91.7,6.0,-558.5
0.25,0.5,999.0,0.0,35,263,4.6,0.2,0.16,-7.3,91.6,5.2,-559.1
0.16,0.5,999.0,0.3,45,106,-2.8,-0.1,-0.17,-5.7,91.5,-7.8,-569.6
0.25,0.35,999.0,0.0,45,238,-1.3,-0.1,-0.05,-9.2,92.9,-1.7,-551.2
0.1,0.5,999.0,0.5,45,57,-1.9,-0.1,-0.26,-2.5,47.4,-10.1,-469.5
0.1,0.35,999.0,0.5,45,59,-2.4,-0.1,-0.33,-2.8,35.6,-12.0,-469.5
0.25,0.5,999.0,0.3,45,92,-2.9,-0.2,-0.13,-10.4,89.1,-9.5,-553.6
0.16,0.5,999.0,0.0,45,213,-4.4,-0.2,-0.21,-6.8,90.1,-6.2,-569.6
0.16,0.5,999.0,0.5,45,56,-3.4,-0.2,-0.24,-4.1,89.3,-18.4,-569.6
0.25,0.5,2.0,0.0,45,236,-3.9,-0.2,-0.17,-7.9,83.5,-5.0,-363.9
0.25,0.5,2.0,0.3,45,114,-4.1,-0.2,-0.23,-7.2,81.6,-10.7,-317.3
0.25,0.5,999.0,0.3,35,117,-3.0,-0.2,-0.12,-8.4,89.7,-7.7,-559.1
0.1,0.5,999.0,0.5,35,64,-3.9,-0.2,-0.34,-3.9,46.9,-18.2,-584.4
0.1,0.5,999.0,0.3,45,109,-3.2,-0.2,-0.3,-4.5,55.0,-8.8,-513.5
0.25,0.5,2.0,0.5,45,67,-3.5,-0.2,-0.25,-4.8,80.6,-15.6,-363.9
0.25,0.35,999.0,0.3,45,119,-4.2,-0.2,-0.19,-10.8,90.8,-10.6,-553.6
0.25,0.5,2.0,0.5,35,81,-4.8,-0.3,-0.31,-6.0,80.2,-17.8,-327.4
0.1,0.35,999.0,0.5,35,67,-4.9,-0.3,-0.41,-4.9,34.3,-21.8,-582.4
0.16,0.35,999.0,0.5,45,61,-5.6,-0.3,-0.37,-5.6,77.0,-27.5,-569.6
0.16,0.5,999.0,0.5,35,64,-6.0,-0.3,-0.36,-6.1,87.5,-28.1,-571.3
0.25,0.5,999.0,0.5,45,53,-5.2,-0.3,-0.27,-7.4,84.9,-29.5,-562.9
0.25,0.5,999.0,0.5,35,63,-6.4,-0.3,-0.31,-7.3,84.1,-30.4,-521.5
0.25,0.35,999.0,0.5,45,62,-5.2,-0.3,-0.29,-6.6,88.7,-25.0,-521.1
0.1,0.35,999.0,0.3,45,123,-5.8,-0.3,-0.42,-6.8,43.1,-14.0,-598.5
0.1,0.35,999.0,0.3,35,141,-8.3,-0.4,-0.53,-9.3,41.8,-17.6,-508.3
0.25,0.35,2.0,0.5,45,81,-6.7,-0.4,-0.47,-7.0,80.2,-24.7,-363.9
0.25,0.35,2.0,0.5,35,91,-8.0,-0.4,-0.51,-8.3,80.2,-26.2,-288.3
0.1,0.5,999.0,0.3,35,125,-7.0,-0.4,-0.45,-8.3,52.0,-16.8,-595.6
