gate,delta,width_pct,n_trades,n_trades_post2021,last_entry,cagr_pct,sharpe,maxdd_pct,win_pct,expectancy_usd,worst_trade_usd
none,0.25,1.0,301,74,2025-05-23,-1.3,-0.62,-26.0,78.7,-22.7,-528.2
none,0.25,1.5,296,54,2023-12-11,-0.2,-0.11,-10.8,89.9,-4.4,-581.3
none,0.25,2.0,263,9,2023-03-10,0.2,0.16,-7.3,91.6,5.2,-559.1
none,0.25,3.0,195,0,2020-03-12,0.3,0.32,-5.4,92.3,10.3,-547.1
none,0.35,1.0,295,89,2026-06-02,-0.6,-0.2,-19.1,83.1,-10.6,-588.3
none,0.35,1.5,272,57,2025-04-04,-0.3,-0.09,-17.9,84.6,-5.3,-527.1
none,0.35,2.0,262,36,2023-10-12,0.3,0.17,-11.5,86.3,7.9,-641.4
none,0.35,3.0,210,0,2020-07-13,0.7,0.46,-7.6,87.1,21.9,-684.1
none,0.45,1.0,265,77,2026-05-27,-0.1,-0.01,-20.0,77.7,-2.2,-599.6
none,0.45,1.5,274,81,2026-06-22,0.7,0.25,-14.6,78.8,17.1,-634.4
none,0.45,2.0,255,56,2025-03-28,0.9,0.33,-12.1,80.4,22.6,-677.7
none,0.45,3.0,203,0,2020-10-08,0.6,0.26,-10.4,80.3,17.5,-639.5
contango>=1.00,0.25,1.0,294,79,2025-06-13,-1.2,-0.55,-22.7,79.6,-20.6,-528.2
contango>=1.00,0.25,1.5,281,52,2023-11-02,-0.4,-0.17,-11.8,89.3,-7.1,-581.3
contango>=1.00,0.25,2.0,250,9,2023-03-13,0.2,0.14,-8.0,91.2,4.7,-555.0
contango>=1.00,0.25,3.0,180,0,2017-08-17,0.2,0.2,-6.3,91.7,7.0,-547.1
contango>=1.00,0.35,1.0,286,90,2026-06-15,-0.7,-0.24,-20.6,82.9,-13.2,-588.3
contango>=1.00,0.35,1.5,259,54,2024-04-12,-0.4,-0.13,-17.9,84.2,-7.8,-527.1
contango>=1.00,0.35,2.0,239,26,2023-10-19,0.2,0.1,-14.6,86.2,4.8,-611.9
contango>=1.00,0.35,3.0,187,0,2020-06-12,0.5,0.34,-8.7,85.0,15.7,-638.9
contango>=1.00,0.45,1.0,256,76,2026-05-27,-0.2,-0.04,-21.1,77.7,-3.9,-599.6
contango>=1.00,0.45,1.5,262,80,2026-06-22,0.7,0.26,-14.8,79.0,17.8,-634.4
contango>=1.00,0.45,2.0,238,50,2024-08-08,0.6,0.23,-13.4,79.8,15.6,-610.7
contango>=1.00,0.45,3.0,196,2,2022-10-10,0.7,0.33,-11.8,81.6,23.1,-639.5
contango>=1.05,0.25,1.0,276,75,2025-06-13,-1.1,-0.55,-21.2,81.2,-21.6,-547.1
contango>=1.05,0.25,1.5,264,49,2023-11-09,-0.4,-0.21,-10.8,89.0,-9.1,-581.3
contango>=1.05,0.25,2.0,223,0,2020-11-18,-0.2,-0.1,-8.7,90.1,-4.2,-555.0
contango>=1.05,0.25,3.0,166,0,2017-08-18,0.2,0.19,-5.0,91.6,7.0,-547.1
contango>=1.05,0.35,1.0,268,84,2026-06-02,-0.6,-0.24,-17.1,83.2,-13.3,-589.0
contango>=1.05,0.35,1.5,244,51,2024-04-05,-0.3,-0.11,-15.8,84.0,-6.7,-524.7
contango>=1.05,0.35,2.0,223,26,2023-10-13,0.3,0.17,-11.9,85.7,8.5,-621.3
contango>=1.05,0.35,3.0,168,0,2020-05-20,0.4,0.32,-7.6,85.7,16.0,-580.3
contango>=1.05,0.45,1.0,237,72,2026-05-27,-0.3,-0.08,-20.6,75.9,-7.4,-599.6
contango>=1.05,0.45,1.5,243,72,2026-04-20,0.6,0.21,-11.5,78.6,14.2,-604.6
contango>=1.05,0.45,2.0,222,45,2024-04-12,0.5,0.2,-11.3,80.2,13.5,-610.7
contango>=1.05,0.45,3.0,180,0,2020-10-06,0.5,0.23,-10.1,80.0,15.7,-633.6
